TOPIC,DESCRIPTION,,Count,
Population and dwellings,"Population, 2021",1,1306784,
Population and dwellings,"Population, 2016",1,1239220,
Population and dwellings,"Population percentage change, 2016 to 2021",,5.5,
Population and dwellings,Total private dwellings,2,531062,
Population and dwellings,Private dwellings occupied by usual residents,3,502301,
Population and dwellings,Population density per square kilometre,,1592.4,
Population and dwellings,Land area in square kilometres,,820.62,
Age characteristics,Total - Age groups of the population - 100% data,,1306780,
Age characteristics,  0 to 14 years,,235855,
Age characteristics,    0 to 4 years,,73840,
Age characteristics,    5 to 9 years,,80585,
Age characteristics,    10 to 14 years,,81425,
Age characteristics,  15 to 64 years,,893525,
Age characteristics,    15 to 19 years,,73490,
Age characteristics,    20 to 24 years,,78365,
Age characteristics,    25 to 29 years,,88385,
Age characteristics,    30 to 34 years,,105960,
Age characteristics,    35 to 39 years,,110765,
Age characteristics,    40 to 44 years,,100080,
Age characteristics,    45 to 49 years,,91385,
Age characteristics,    50 to 54 years,,84725,
Age characteristics,    55 to 59 years,,82570,
Age characteristics,    60 to 64 years,,77790,
Age characteristics,  65 years and over,,177405,
Age characteristics,    65 to 69 years,,62120,
Age characteristics,    70 to 74 years,,46495,
Age characteristics,    75 to 79 years,,28965,
Age characteristics,    80 to 84 years,,19405,
Age characteristics,    85 years and over,,20420,
Age characteristics,      85 to 89 years,,12620,
Age characteristics,      90 to 94 years,,6225,
Age characteristics,      95 to 99 years,,1375,
Age characteristics,      100 years and over,,195,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,
Age characteristics,  0 to 14 years,,18,
Age characteristics,  15 to 64 years,,68.4,
Age characteristics,  65 years and over,,13.6,
Age characteristics,    85 years and over,,1.6,
Age characteristics,Average age of the population,,38.8,
Age characteristics,Median age of the population,,38,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,502300,
Household and dwelling characteristics,  Single-detached house,,276050,
Household and dwelling characteristics,  Semi-detached house,,31660,
Household and dwelling characteristics,  Row house,,48860,
Household and dwelling characteristics,  Apartment or flat in a duplex,,21165,
