name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
HUNTINGTON HILLS,HUN,1996,14595,5100,2.86,
HARVEST HILLS,HAR,1969,0,0,0,
ROYAL OAK,ROY,2009,10423,3588,2.9,
MAHOGANY,MAH,2000,0,0,0,
FOREST HEIGHTS,FHT,1990,6854,2005,3.42,
POINT MCKAY,POI,1975,0,0,0,
NEW BRIGHTON,NEB,1979,0,0,0,
WOODLANDS,WOO,2008,6386,2294,2.78,
STRATHCONA PARK,STR,2010,7122,2378,2.99,
WINSTON HEIGHTS/MOUNTVIEW,WIN,1989,3464,1504,2.3,
ERLTON,ERL,2005,1263,719,1.76,
RED CARPET,RED,2004,1765,880,2.01,
CHRISTIE PARK,CHR,1986,19,7,2.71,
TARADALE,TAR,2017,18925,4796,3.95,
BANFF TRAIL,BNF,1979,3570,1445,2.47,
BRITANNIA,BRT,1996,757,296,2.56,
CRANSTON,CRA,2006,5225,1887,2.77,
RIVERBEND,RIV,1987,1565,510,3.07,
ARBOUR LAKE,ARB,2004,10312,3620,2.85,
BAYVIEW,BYV,1996,686,241,2.85,
HAMPTONS,HAM,1994,1624,483,3.36,
CORAL SPRINGS,COR,2011,5838,1466,3.98,
SPRINGBANK HILL,SPH,2015,9874,3224,3.06,
MAYLAND HEIGHTS,MAL,1978,5710,1683,3.39,
NORTH HAVEN,NHV,1997,2442,939,2.6,
WOODLANDS,WOO,2009,6354,2323,2.74,
NEW BRIGHTON,NEB,1986,0,0,0,
APPLEWOOD PARK,APP,1972,0,0,0,
EVANSTON,EVN,1979,7,3,2.33,
ST. ANDREWS HEIGHTS,STA,1986,2133,709,3.01,
GARRISON GREEN,GAG,2009,1402,651,2.15,At this time community was referred to as CFB - LINCOLN PARK PMQ (CFL)
COPPERFIELD,CPF,1979,0,0,0,
SOUTHWOOD,SOW,1993,6755,2536,2.66,
RUNDLE,RUN,1977,5837,1702,3.43,
DOVER,DOV,1993,11353,3765,3.02,
CHRISTIE PARK,CHR,2004,2272,718,3.16,
GARRISON WOODS,GAW,1998,0,0,0,
